model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,e_num_hidden_layers,e_units,init_buffer_iters,lr,pickle_file
deup,dropw2,ei,20,500,0,-1,-0.93624486,500,3032.411,17253.038,7,5,50,5,128,2,0.001,deup_ei_dropw2_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
deup,goldstein2,ei,20,500,0,-3.12913,-3.128971099,75,236.453,726.43,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
deup,goldstein2,ei,20,500,3,-3.12913,-3.128126735,65,185.11,654.89,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed3.pkl
deup,goldstein2,ei,20,500,4,-3.12913,-3.128366417,62,186.404,690.425,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed4.pkl
deup,goldstein2,ei,20,500,6,-3.12913,-3.126054658,35,115.057,268.332,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed6.pkl
deup,goldstein2,ei,20,500,5,-3.12913,-3.127443737,69,191.968,668.816,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed5.pkl
deup,goldstein2,ei,20,500,8,-3.12913,-3.127107399,31,108.349,240.116,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed8.pkl
deup,goldstein2,ei,20,500,9,-3.12913,-3.127053334,39,132.478,315.019,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed9.pkl
deup,goldstein2,ei,20,500,1,-3.12913,-3.12868508,188,585.079,3177.921,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed1.pkl
deup,goldstein2,ei,20,500,7,-3.12913,-3.128087844,91,258.884,979.497,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed7.pkl
deup,goldstein2,ei,20,500,2,-3.12913,-3.127646091,242,892.827,4848.354,7,5,50,5,128,2,0.001,deup_ei_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed2.pkl
deup,goldstein2,ts,20,500,0,-3.12913,-3.129082866,16,17.929,192.703,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
deup,goldstein2,ts,20,500,3,-3.12913,-3.127391259,8,6.791,105.828,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed3.pkl
deup,goldstein2,ts,20,500,6,-3.12913,-3.129077006,15,16.6,185.842,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed6.pkl
deup,goldstein2,ts,20,500,2,-3.12913,-3.127370003,45,88.49,883.283,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed2.pkl
deup,goldstein2,ts,20,500,4,-3.12913,-3.128636539,60,142.723,1372.284,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed4.pkl
deup,goldstein2,ts,20,500,8,-3.12913,-3.126369153,81,244.139,2223.06,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed8.pkl
deup,goldstein2,ts,20,500,1,-3.12913,-3.128326909,86,274.109,2481.989,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed1.pkl
deup,goldstein2,ts,20,500,5,-3.12913,-3.127619912,108,415.067,3615.285,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed5.pkl
deup,goldstein2,ts,20,500,7,-3.12913,-3.127564053,110,419.76,3922.792,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed7.pkl
deup,goldstein2,ts,20,500,9,-3.12913,-3.128627771,133,605.346,5303.922,7,5,50,5,128,2,0.001,deup_ts_goldstein2_L5_n50_eL5_en128_lr1e3_es7_seed9.pkl
deup,hartmann3,ei,30,500,3,-3.86278,-3.862612799,316,1835.878,8803.703,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed3.pkl
deup,hartmann3,ei,30,500,5,-3.86278,-3.762480137,500,3817.142,19653.584,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed5.pkl
deup,hartmann3,ei,30,500,14,-3.86278,-3.862014848,262,1322.826,6319.763,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed14.pkl
deup,hartmann3,ei,30,500,18,-3.86278,-3.861893978,195,1013.075,3866.746,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed18.pkl
deup,hartmann3,ei,30,500,15,-3.86278,-3.862502641,269,1811.867,7065.093,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed15.pkl
deup,hartmann3,ei,30,500,4,-3.86278,-3.861576968,500,3940.625,19686.164,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed4.pkl
deup,hartmann3,ei,30,500,11,-3.86278,-3.8623687,393,2579.853,12349.836,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed11.pkl
deup,hartmann3,ei,30,500,8,-3.86278,-3.731476847,500,3755.071,19914.399,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed8.pkl
deup,hartmann3,ei,30,500,2,-3.86278,-3.782764831,500,4195.492,20265.657,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed2.pkl
deup,hartmann3,ei,30,500,7,-3.86278,-3.86210109,207,1048.882,4134.613,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed7.pkl
deup,hartmann3,ei,30,500,9,-3.86278,-3.861366364,232,1198.538,4943.968,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed9.pkl
deup,hartmann3,ts,30,500,13,-3.86278,-3.86199993,134,701.635,6504.638,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed13.pkl
deup,hartmann3,ei,30,500,6,-3.86278,-3.862283249,281,1798.371,6908.969,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed6.pkl
deup,hartmann3,ei,30,500,12,-3.86278,-3.771477917,500,4182.29,20675.986,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed12.pkl
deup,hartmann3,ei,30,500,13,-3.86278,-3.85328042,500,3971.673,20915.043,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed13.pkl
deup,hartmann3,ei,30,500,19,-3.86278,-3.861952604,250,1928.783,9175.033,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed19.pkl
deup,hartmann3,ts,30,500,15,-3.86278,-3.862049244,289,3000.914,28906.04,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed15.pkl
deup,hartmann3,ei,30,500,1,-3.86278,-3.862458123,326,1784.825,9072.177,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed1.pkl
deup,hartmann3,ei,30,500,0,-3.86278,-3.85221744,500,3653.807,19329.43,7,5,50,5,128,2,0.001,deup_ei_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
