model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,rate,num_passes,lr,pickle_file
mc,scaled_branin,ei,20,500,4,-1.047393,-1.046828988,60,420.326,113.561,5,100,0.1,50,0.001,mc_ei_scaled_branin_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,scaled_branin,ei,20,500,9,-1.047393,-1.046639607,27,222.31,36.838,5,100,0.1,50,0.001,mc_ei_scaled_branin_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,scaled_branin,ts,20,500,3,-1.047393,-1.046774946,18,4.717,41.952,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed3.pkl
mc,scaled_branin,ts,20,500,2,-1.047393,-1.047238264,42,9.95,126.884,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,scaled_branin,ts,20,500,4,-1.047393,-1.046764074,15,3.895,27.846,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,scaled_branin,ts,20,500,9,-1.047393,-1.047053471,8,2.355,16.302,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,scaled_branin,ts,20,500,7,-1.047393,-1.047336113,42,10.548,129.212,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed7.pkl
mc,scaled_branin,ts,20,500,5,-1.047393,-1.047261241,62,15.104,230.146,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,scaled_branin,ts,20,500,11,-1.047393,-1.047327719,4,1.25,9.777,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed11.pkl
mc,scaled_branin,ts,20,500,10,-1.047393,-1.047056821,36,8.845,107.084,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed10.pkl
mc,scaled_branin,ts,20,500,14,-1.047393,-1.047207371,6,1.679,14.851,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed14.pkl
mc,scaled_branin,ts,20,500,13,-1.047393,-1.046673974,35,8.649,95.21,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed13.pkl
mc,scaled_branin,ts,20,500,16,-1.047393,-1.046958596,12,3.226,23.803,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed16.pkl
mc,scaled_branin,ts,20,500,17,-1.047393,-1.046906025,3,0.973,6.132,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed17.pkl
mc,scaled_branin,ts,20,500,19,-1.047393,-1.047023527,10,2.427,16.609,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed19.pkl
